"ID_MUNICIPIO";"CD_MUNICIPIO_IBGE";"NOME"
792;3167301;"SILVEIRÂNIA"
805;3168507;"TEIXEIRAS"
816;3169406;"TRÊS PONTAS"
818;3169604;"TUPACIGUARA"
828;3170438;"UNIÃO DE MINAS"
833;3170602;"VARGEM BONITA"
839;3171006;"VAZANTE"
623;3153301;"PRESIDENTE KUBITSCHEK"
644;3155306;"RIO MANSO"
692;3158706;"SANTANA DO GARAMBÉU"
712;3161056;"SÃO FÉLIX DE MINAS"
725;3162104;"SÃO GOTARDO"
746;3163409;"SÃO JOSÉ DO GOIABAL"
768;3165404;"SAPUCAÍ-MIRIM"
775;3165800;"SENADOR JOSÉ BENTO"
851;3172004;"VISCONDE DO RIO BRANCO"
441;3138609;"LIMA DUARTE"
444;3138674;"LUISBURGO"
512;3144359;"NAQUE"
519;3144706;"NOVA ERA"
530;3145406;"OLARIA"
514;3144409;"NATÉRCIA"
536;3145851;"ORATÓRIOS"
200;3118007;"CONGONHAS"
211;3119104;"CORINTO"
213;3119302;"COROMANDEL"
382;3133758;"ITAÚ DE MINAS"
391;3134608;"JABOTICATUBAS"
415;3136520;"JOSÉ GONÇALVES DE MINAS"
428;3137502;"LAGOA FORMOSA"
435;3138104;"LASSANCE"
448;3138906;"MACHACALIS"
450;3139102;"MADRE DE DEUS DE MINAS"
460;3140001;"MARIANA"
489;3142304;"MOEDA"
494;3142809;"MONTE ALEGRE DE MINAS"
723;3125507;"SÃO GONÇALO DO RIO PRETO"
755;3164308;"SÃO ROQUE DE MINAS"
310;3127370;"GOIABEIRA"
420;3136801;"JURAMENTO"
511;3144300;"NANUQUE"
762;3164803;"SÃO SEBASTIÃO DO RIO PRETO"
20;3101904;"ALPINÓPOLIS"
82;3107703;"BOM JESUS DO AMPARO"
172;3115607;"CEDRO DO ABAETÉ"
297;3126703;"FRANCISCO SÁ"
793;3167400;"SILVIANÓPOLIS"
195;3117702;"CONCEIÇÃO DO RIO VERDE"
430;3137601;"LAGOA SANTA"
803;3168309;"TAQUARAÇU DE MINAS"
807;3168705;"TIMÓTEO"
552;3147006;"PARACATU"
555;3147402;"PARAOPEBA"
560;3147907;"PASSOS"
561;3147956;"PATIS"
566;3148400;"PAULISTAS"
573;3149002;"PEDRA DOURADA"
578;3149408;"PEDRO TEIXEIRA"
582;3149804;"PERDIZES"
594;3150604;"PIRACEMA"
599;3151107;"PIRAPETINGA"
624;3153400;"PRESIDENTE OLEGÁRIO"
628;3153905;"RAPOSOS"
640;3154903;"RIO CASCA"
642;3155009;"RIO DOCE"
658;3156601;"RUBIM"
707;3160702;"SANTOS DUMONT"
709;3160900;"SÃO BRÁS DO SUAÇUI"
711;3161007;"SÃO DOMINGOS DO PRATA"
728;3162302;"SÃO JOÃO DA MATA"
45;3104106;"ARCEBURGO"
64;3106002;"BELA VISTA DE MINAS"
93;3108552;"BRASILÂNDIA DE MINAS"
103;3109451;"CABECEIRA GRANDE"
108;3109808;"CACHOEIRA DOURADA"
11;3101102;"AIMORÉS"
39;3103603;"ARANTINA"
86;3108107;"BONFIM"
171;3115508;"CAXAMBU"
471;3171501;"MATHIAS LOBATO"
487;3142205;"MIRAÍ"
356;3131208;"IPANEMA"
407;3135803;"JEQUITINHONHA"
472;3140803;"MATIAS BARBOSA"
587;3150158;"PIEDADE DE CARATINGA"
591;3150505;"PIMENTA"
613;3152303;"PORTO FIRME"
614;3152402;"POTÉ"
179;3116209;"CHIADOR"
183;3116605;"CLÁUDIO"
187;3117009;"COMERCINHO"
263;3123502;"DOURADOQUARA"
285;3125606;"FELISBURGO"
296;3126604;"FRANCISCO DUMONT"
305;3127107;"FRUTAL"
307;3127305;"GALILÉIA"
